,ParentLocationCode,ParentLocation,SpatialDimValueCode,Location,Year,Gender,Value,arg,cpi,edu,employ,exchange,gdp,green,income,pop,tax,LifeLadder,LogGDPPerCapita,SocialSupport,Expectancy,Freedom,Generosity,Corruption,PositiveAffect,NegativeAffect,Africa,Americas,Eastern Mediterranean,Europe,South-East Asia,Western Pacific,YearInd,cbrt_cpi,cbrt_exchange,cbrt_gdp,cbrt_green,cbrt_income,cbrt_pop
36,EUR,Europe,DNK,Denmark,2018,Both sexes,18.6,65.8,109.5170074,0.7684928929478195,0.4991245987744384,6.314618787000001,61591.92887,45870.0,52447.84427,0.004152614210856278,0.6763200017369126,0.9594647013188519,0.8582834331337328,0.9475587703435805,0.8609355246523389,0.9265785609397945,0.018000000000000002,0.151,0.7648183556405351,0.21106557377049182,0.0,0.0,0.0,1.0,0.0,0.0,19,4.7843967790438,1.84834219999868,39.49189148734664,35.7966935139998,0.846285354472466,179.60444001371272
37,AFR,Africa,DZA,Algeria,2018,Both sexes,18.8,17.36496412,148.4639947,0.5088011824990611,0.4798377350272638,116.59379170000001,4153.956234,218910.0,3219.975007,0.03031349683009316,0.46012659624152197,0.4540341349883631,0.541516966067864,0.6600361663652806,0.6554993678887486,0.40969162995594705,-0.146,0.759,0.3250478011472274,0.3893442622950818,1.0,0.0,0.0,0.0,0.0,0.0,19,5.2950944843849514,4.885306415680822,16.075110693583774,60.268243415121766,0.24260437288964412,348.23166577788965
38,SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,2018,Both sexes,18.8,41.64069706891348,127.72994692466757,0.5088011824990611,0.4798377350272638,537.2851242258524,15990.790316933331,262005.75063613232,12664.677869724934,0.03358346136685561,0.46012659624152197,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,0.0,0.0,0.0,0.0,1.0,0.0,19,5.0035644879782,4.668049953214195,21.012194400473785,41.95430634260418,0.36919321933494065,245.1382267605977
39,EUR,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2018,Both sexes,19.2,41.64069706891348,127.72994692466757,0.5088011824990611,0.4798377350272638,537.2851242258524,15990.790316933331,262005.75063613232,12664.677869724934,0.03358346136685561,0.46012659624152197,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,0.0,0.0,0.0,1.0,0.0,0.0,19,5.0035644879782,4.668049953214195,21.012194400473785,41.95430634260418,0.36919321933494065,245.1382267605977
40,AFR,Africa,COM,Comoros,2018,Both sexes,19.5,70.39226222,127.72994692466757,0.29262443203075966,0.4798377350272638,416.5848438,1415.955164,590.0,1268.409848,0.0005902939017039545,0.46012659624152197,0.24650892164468585,0.2780439121756484,0.3381555153707053,0.3805309734513276,0.37591776798825255,0.086,0.794,0.6252390057361376,0.4795081967213114,1.0,0.0,0.0,0.0,0.0,0.0,19,5.0035644879782,7.468518970411257,11.229226293352726,8.387206526527143,0.13761251890927537,94.06551943376377
41,EUR,Europe,AZE,Azerbaijan,2018,Both sexes,19.6,57.8253926,152.9,0.5296978682845871,0.562737087831923,1.7000166669999999,4739.841710000001,80260.0,3359.6381520000004,0.007129620083693045,0.32725395882849995,0.4782777346780448,0.5842315369261479,0.6274864376130199,0.6428571428571428,0.6872246696035242,-0.23199999999999998,0.561,0.32887189292543006,0.18032786885245897,0.0,0.0,0.0,1.0,0.0,0.0,19,5.347315740823025,1.193487092264465,16.797885351277635,43.135322740660335,0.24821051176266581,215.01006623141708
42,EUR,Europe,FIN,Finland,2018,Both sexes,19.7,7.475651487,111.19299140000001,0.9382825636426867,0.44703822585351627,537.2851242258524,49964.499910000006,54490.0,40882.39227,0.0039529250834399,0.7139576926892929,0.9999999999999999,0.827944111776447,0.9547920433996387,0.8451327433628322,0.9309838472834067,-0.127,0.19899999999999998,0.6902485659655831,0.1618852459016393,0.0,0.0,0.0,1.0,0.0,0.0,19,4.808679195842981,4.668049953214195,36.83159402546114,37.91161359757366,0.7668397893814882,176.68334758042639
43,AFR,Africa,SLE,Sierra Leone,2018,Both sexes,19.8,54.71044611,203.9655671,0.5088011824990611,0.4798377350272638,7931.63175,533.9915333,7190.0,455.0550631,0.005485626788593811,0.46012659624152197,0.3110938712179985,0.15608782435129753,0.39059674502712494,0.17825537294563842,0.604992657856094,0.095,0.856,0.2504780114722752,0.7438524590163934,1.0,0.0,0.0,0.0,0.0,0.0,19,5.88643409170858,19.9428633841295,8.112937376947345,19.300843833634374,0.054162967578116866,197.0410128736121
44,EMR,Eastern Mediterranean,PAK,Pakistan,2018,Both sexes,20.0,47.0890411,164.8793939,0.1789049150317733,0.3571637000291801,121.8240689,1482.213067,431220.0,1368.28421,0.15237672446317904,0.46012659624152197,0.5372381691233515,0.3650698602794411,0.4538878842676314,0.42161820480404577,0.6886930983847284,0.069,0.799,0.2791586998087955,0.5614754098360655,0.0,0.0,1.0,0.0,0.0,0.0,19,5.483469860782304,4.9572904699637865,11.40171582617245,75.54973843462486,0.14498944921880805,596.4871473222112
45,EMR,Eastern Mediterranean,YEM,Yemen,2018,Both sexes,20.9,41.64069706891348,127.72994692466757,0.5088011824990611,0.4798377350272638,537.2851242258524,15990.790316933331,262005.75063613232,12664.677869724934,0.03358346136685561,0.46012659624152197,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,0.0,0.0,1.0,0.0,0.0,0.0,19,5.0035644879782,4.668049953214195,21.012194400473785,41.95430634260418,0.36919321933494065,245.1382267605977
